鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
八里區,舊城里,1818,1261146,14165,22466,1084261,35003,12173,3019,999,71539,183,13717,240,3382,847586,1024477,768
八里區,訊塘里,1061,750217,14078,8408,604194,23401,16759,2220,517,68714,117,9665,0,2146,472841,618883,385
八里區,荖阡里,442,317412,6653,3321,243941,14026,10352,1351,264,32082,314,3195,0,1914,190370,263842,0
八里區,下罟里,379,276297,14949,3366,200548,8760,9172,667,203,32723,0,5465,0,444,151961,227710,88
八里區,長坑里,390,238943,8281,821,178350,7540,9880,398,147,22620,0,10188,0,718,132201,192794,1
八里區,其他,50,22592,92,1123,17747,358,489,115,1,2502,0,64,0,100,12830,17674,0
八里區,合計,9203,6991635,115440,94925,5512590,220867,171840,17360,5782,725467,6334,80822,2347,37861,4365413,5843695,9433
永和區,下溪里,1228,1169297,12593,8680,939390,47329,21479,3252,1987,119245,484,10334,1134,3391,787497,1017047,3229
永和區,中溪里,1588,1576433,12370,24478,1238166,80024,30676,19651,1199,132639,3807,15233,2027,16162,1045975,1384237,6259
永和區,上溪里,648,611223,5402,9163,472960,31190,22632,6361,475,47062,1602,7118,0,7258,402531,540870,1112
永和區,後溪里,591,620738,2278,10605,450863,30599,28850,1160,335,87352,0,6044,214,2437,381352,551227,1197
永和區,頂溪里,874,887496,3195,10888,710293,43002,11245,1613,772,78737,1669,16665,164,9255,605852,783056,1797
永和區,網溪里,374,344165,1202,3935,282566,17129,4128,1688,290,30328,0,2043,0,855,237517,300076,536
永和區,復興里,854,779911,7612,10780,627945,43729,15990,1926,585,61128,205,6007,166,3840,534870,687195,2318
永和區,竹林里,1223,1157249,10133,17357,901669,67484,25634,10474,857,97301,4784,10687,773,10095,761732,1017268,3546
永和區,中興里,937,917008,8422,12129,685312,53187,35305,3202,834,98071,3842,11200,377,5127,583124,814838,2689
永和區,店街里,1419,1636918,31867,23439,1184584,92927,38666,20653,1198,211428,2688,14759,1445,13265,1018521,1470790,6891
永和區,潭墘里,1570,1788829,10147,29257,1402778,98202,27536,5590,1777,176132,4958,23073,491,8888,1216834,1604777,3926
永和區,水源里,1394,1307435,5827,21501,1051286,78360,20664,5783,1024,103172,385,10639,1238,7555,888951,1145042,4277
永和區,秀朗里,1281,1034338,12065,10689,841163,46527,13682,2524,853,90629,4157,7481,112,4456,687803,880943,2347
永和區,大同里,249,176696,1033,831,147814,6550,1406,643,58,12583,1328,3270,0,1180,119147,148029,33
永和區,永成里,237,167458,1126,1867,142375,5801,3515,449,161,10197,188,1304,0,475,114115,139198,88
永和區,福和里,1925,2108295,8250,44825,1601709,123231,50995,8045,1878,236162,1296,21207,1042,9655,1378028,1884619,5833
永和區,豫溪里,1221,1189610,5709,22054,892847,74612,44047,5393,2329,119336,3393,15116,892,3882,757703,1054418,3946
永和區,上林里,1124,1162158,8705,14364,894259,62332,19236,3154,951,120735,2013,29061,833,6515,764130,1031893,3316
